SDFB Relationship ID,Person 1 ID,Person 2 ID,Original Confidence,Maximum Confidence,Start Year Type,Start Day,Start Month,Start Year,End Year Type,End Month,End Day,End Year
100061194,10002863,10008580,98,98,AF/IN,,,1595,BF/IN,,,1641
100061195,10002863,10008581,77,77,AF/IN,,,1595,BF/IN,,,1628
100061197,10002863,10008706,47,47,AF/IN,,,1595,BF/IN,,,1601
100061198,10002863,10008729,93,93,AF/IN,,,1595,BF/IN,,,1640
100061200,10002863,10009178,63,63,AF/IN,,,1595,BF/IN,,,1619
100061202,10002863,10009563,35,35,AF/IN,,,1595,BF/IN,,,1641
100061203,10002863,10009710,56,56,AF/IN,,,1595,BF/IN,,,1670
100061205,10002863,10009764,28,28,AF/IN,,,1657,BF/IN,,,1672
100061206,10002863,10009831,15,15,AF/IN,,,1628,BF/IN,,,1672
100061208,10002863,10009940,43,43,AF/IN,,,1595,BF/IN,,,1631
100061211,10002863,10010332,17,17,AF/IN,,,1595,BF/IN,,,1672
100061213,10002863,10010483,45,45,AF/IN,,,1595,BF/IN,,,1659
100061214,10002863,10010523,54,54,AF/IN,,,1595,BF/IN,,,1640
100061216,10002863,10010670,77,77,AF/IN,,,1617,BF/IN,,,1672
100061217,10002863,10010792,15,15,AF/IN,,,1595,BF/IN,,,1607
100061219,10002863,10010803,48,48,AF/IN,,,1632,BF/IN,,,1672
100061220,10002863,10010845,56,56,AF/IN,,,1595,BF/IN,,,1672
100061222,10002863,10011094,38,38,AF/IN,,,1595,BF/IN,,,1672
100061224,10002863,10011532,31,31,AF/IN,,,1595,BF/IN,,,1651
100061225,10002863,10011534,33,33,AF/IN,,,1595,BF/IN,,,1629
100061227,10002863,10011670,80,80,AF/IN,,,1600,BF/IN,,,1649
100061228,10002863,10011671,32,32,AF/IN,,,1630,BF/IN,,,1672
100061230,10002863,10012324,22,22,AF/IN,,,1613,BF/IN,,,1672
100061234,10002863,10012593,23,23,AF/IN,,,1611,BF/IN,,,1672
100061235,10002863,10012784,47,47,AF/IN,,,1595,BF/IN,,,1657
100061237,10002863,10012786,40,40,AF/IN,,,1601,BF/IN,,,1672
100061238,10002863,10012819,39,39,AF/IN,,,1595,BF/IN,,,1632
100061240,10002863,10012864,53,53,AF/IN,,,1599,BF/IN,,,1665
100061242,10002863,10012918,21,21,AF/IN,,,1626,BF/IN,,,1672
100061243,10002863,10012919,18,18,AF/IN,,,1631,BF/IN,,,1637
100061245,10002863,10013139,48,48,AF/IN,,,1595,BF/IN,,,1658
100061246,10002863,10013140,64,64,AF/IN,,,1595,BF/IN,,,1667
100061248,10002863,10013257,28,28,AF/IN,,,1595,BF/IN,,,1652
100061249,10002864,10003665,15,15,AF/IN,,,1548,BF/IN,,,1596
100061253,10002864,10004500,42,42,AF/IN,,,1560,BF/IN,,,1597
100061254,10002864,10005344,44,44,AF/IN,,,1548,BF/IN,,,1591
100061256,10002864,10011278,25,25,AF/IN,,,1565,BF/IN,,,1597
100061257,10002864,10011322,52,52,AF/IN,,,1585,BF/IN,,,1597
100061260,10002864,10013231,24,24,AF/IN,,,1548,BF/IN,,,1597
100061261,10002865,10008198,57,57,AF/IN,,,1647,BF/IN,,,1716
100061266,10002867,10007541,96,96,AF/IN,,,1668,BF/IN,,,1704
100061267,10002867,10008053,74,74,AF/IN,,,1668,BF/IN,,,1708
100061268,10002867,10008886,13,13,AF/IN,,,1668,BF/IN,,,1712
