SDFB Relationship ID,Person 1 ID,Person 2 ID,Original Confidence,Maximum Confidence,Start Year Type,Start Day,Start Month,Start Year,End Year Type,End Month,End Day,End Year
100200825,10054893,10005491,76,76,AF/IN,"",,1720,BF/IN,"",,1733
100200826,10000716,10004726,60,60,AF/IN,"",,1599,BF/IN,"",,1657
100200827,10000716,10005616,100,100,IN,August,21,1640,BF/IN,"",,1657
100200828,10000716,10001668,60,60,IN,"",,1640,BF/IN,"",,1657
100200829,10011245,10009885,100,100,BF,"",,1646,BF/IN,"",,1661
100200830,10011245,10001668,100,100,BF,"",,1646,BF/IN,"",,1661
100200831,10011245,10005616,60,60,BF/IN,"",,1647,BF/IN,"",,1661
100200832,10011245,10001254,60,60,BF,"",,1647,BF/IN,"",,1654
100200840,10054900,10008812,73,73,AF/IN,"",,1723,BF/IN,"",,1727
100200841,10054900,10010431,71,71,AF/IN,"",,1723,IN,"",,1726
100200834,10007859,10009112,90,90,CA,February,,1668,BF/IN,"",,1677
100200835,10006142,10007859,60,60,AF/IN,February,,1668,BF/IN,"",,1703
100200836,10001419,10007859,82,82,BF/IN,February,,1668,BF/IN,"",,1691
100200842,10054901,10010431,77,77,AF/IN,"",,1728,BF/IN,"",,1737
100200843,10054902,10005491,100,100,CA,"",,1716,BF/IN,"",,1729
100200837,10007859,10012466,60,60,AF/IN,"",,1668,BF/IN,"",,1703
100200838,10007859,10013084,47,47,AF/IN,"",,1668,BF/IN,"",,1695
100200839,10054898,10001419,87,87,IN,May,18,1669,BF/IN,"",,1691
100200844,10054902,10001275,100,100,CA,"",,1716,BF/IN,"",,1729
100200845,10001275,10054901,60,60,BF/IN,"",,1720,BF/IN,"",,1737
100200846,10001275,10054893,60,60,BF/IN,"",,1720,BF/IN,"",,1747
100200847,10003179,10005491,60,60,AF/IN,"",,1719,BF/IN,"",,1759
100200848,10001275,10054890,70,70,AF/IN,"",,1720,BF/IN,"",,1743
100200850,10054903,10011774,100,100,BF/IN,"",,1705,BF/IN,"",,1718
100200851,10054903,10001275,60,60,BF/IN,"",,1722,BF/IN,"",,1726
100200849,10054890,10000400,60,60,BF/IN,"",,1722,BF/IN,"",,1732
100200852,10054903,10054900,100,100,IN,"",,1723,IN,"",,1726
100200853,10001275,10054900,60,79,IN,"",,1723,AF/IN,"",,1726
100200854,10054900,10054901,83,83,BF/IN,"",,1723,AF/IN,"",,1726
100200855,10054904,10054900,77,77,BF/IN,"",,1723,AF/IN,"",,1726
100200856,10054904,10010431,80,80,AF/IN,"",,1711,BF/IN,"",,1753
100200857,10054904,10001275,80,80,BF/IN,"",,1722,BF/IN,"",,1747
100200858,10054905,10054900,77,77,BF/IN,"",,1723,IN,"",,1726
100200859,10054905,10005491,88,88,AF/IN,"",,1717,BF/IN,"",,1734
100200860,10054900,10002867,75,75,BF/IN,"",,1723,IN,"",,1726
100200861,10010344,10001275,60,60,BF/IN,"",,1720,BF/IN,"",,1747
100200862,10001275,10008451,74,74,AF/IN,"",,1723,BF/IN,"",,1735
100200863,10054904,10054901,60,60,BF/IN,"",,1722,BF/IN,"",,1737
100200864,10009828,10001275,60,60,BF/IN,"",,1722,BF/IN,"",,1744
100200865,10054906,10005491,100,100,AF/IN,"",,1700,BF/IN,"",,1759
100200812,10009828,10010431,60,60,BF/IN,"",,1728,BF/IN,"",,1744
100200866,10054907,10005491,100,100,AF/IN,"",,1711,BF/IN,"",,1759
100200867,10054908,10005491,60,100,AF,"",,1720,BF/IN,"",,1759
100200868,10054908,10054907,100,100,IN,"",,1712,IN,"",,1763
100200869,10054909,10005491,60,100,AF,"",,1720,BF/IN,"",,1757
100200870,10054893,10010431,92,92,AF/IN,"",,1687,BF/IN,"",,1758
100200871,10006590,10005491,100,100,AF/IN,"",,1700,BF/IN,"",,1759
100200872,10005491,10006462,60,80,BF/IN,"",,1727,BF/IN,"",,1759
100200873,10005491,10006459,82,82,BF/IN,"",,1710,BF/IN,June,11,1727
100200874,10005491,10000257,88,88,BF,"",,1719,BF/IN,"",,1735
100200875,10054918,10005491,77,81,AF/IN,"",,1698,IN,"",,1728
100200876,10054919,10005491,100,100,BF/IN,"",,1720,AF/IN,"",,1724
100200883,10005491,10012482,60,60,BF/IN,"",,1733,BF/IN,"",,1745
100200877,10054919,10006459,60,60,BF/IN,"",,1720,BF/IN,"",,1727
100200878,10005773,10005491,60,60,BF/IN,"",,1720,BF/IN,"",,1749
100200879,10054921,10005491,60,60,BF/IN,"",,1719,IN,"",,1743
100200880,10054922,10005491,77,77,AF/IN,"",,1706,BF/IN,"",,1755
100200881,10054926,10003179,99,100,BF/IN,"",,1718,BF/IN,"",,1778
100200884,10054930,10012844,100,100,IN,"",,1675,BF/IN,"",,1725
100200885,10005491,10054911,60,100,BF/IN,"",,1733,BF/IN,"",,1751
100200886,10054911,10005867,100,100,IN,"",,1716,BF/IN,"",,1743
100200888,10001275,10002446,95,95,BF/IN,"",,1720,BF/IN,"",,1722
100200887,10001275,10001418,69,69,BF/IN,"",,1720,BF/IN,"",,1747
100200889,10054923,10001275,60,60,BF/IN,"",,1720,BF/IN,"",,1730
100200890,10001275,10054926,84,84,BF/IN,"",,1720,BF/IN,"",,1747
100200891,10005491,10054926,60,96,AF/IN,"",,1719,BF/IN,"",,1759
100200892,10054897,10005491,93,93,IN,"",,1729,BF/IN,"",,1736
100200893,10005491,10054896,88,88,IN,"",,1731,BF/IN,"",,1740
100200894,10054894,10054896,75,75,BF/IN,"",,1731,BF/IN,"",,1740
100200895,10054894,10054895,100,100,AF/IN,"",,1712,BF/IN,"",,1768
100200896,10054897,10054894,74,74,BF/IN,"",,1733,BF/IN,"",,1767
100200903,10054896,10054897,78,78,AF/IN,"",,1729,BF/IN,"",,1740
100200897,10054894,10003179,81,97,AF/IN,"",,1734,BF/IN,"",,1768
100200898,10054893,10054895,60,60,AF/IN,"",,1733,BF/IN,"",,1758
100200904,10010862,10001275,60,96,AF/IN,"",,1700,BF/IN,"",,1717
100200899,10010344,10005491,100,100,AF/IN,"",,1714,BF/IN,"",,1755
100200882,10054927,10005491,60,60,IN,"",,1729,BF/IN,"",,1738
100200900,10003179,10054893,60,60,AF/IN,"",,1720,BF/IN,"",,1758
100200901,10003179,10054902,78,78,AF/IN,"",,1720,BF/IN,"",,1729
100200902,10054893,10054896,60,60,AF/IN,"",,1720,BF/IN,"",,1740
100200905,10005491,10005161,87,87,BF/IN,"",,1731,BF/IN,"",,1755
100200906,10011743,10005491,60,60,AF/IN,"",,1724,BF/IN,"",,1754
100200907,10011743,10005739,73,73,AF/IN,"",,1724,BF/IN,"",,1729
100200908,10001864,10004125,100,100,AF/IN,"",,1625,BF/IN,"",,1680
100200909,10004775,10009262,90,90,BF/IN,"",,1586,BF/IN,"",,1600
100200910,10054893,10054927,80,80,AF/IN,"",,1729,BF/IN,"",,1738
100200912,10009683,10010299,60,60,BF,"",,1555,AF,"",,1555
